date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-09,California,State,Delta,0.0,0.0,0.14285714285,0.027464982148
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Other,149.0,23.17,118.85714285714,22.850865146938
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.027464982148
2021-02-09,California,State,Alpha,22.0,3.42,18.0,3.460587750618
2021-02-09,California,State,Total,643.0,100.0,520.14285714285,100.0
2021-02-09,California,State,Epsilon,472.0,73.41,383.0,73.633617138149
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Alpha,21.0,3.85,16.85714285714,3.807679896741
2021-02-10,California,State,Delta,0.0,0.0,0.14285714285,0.032268473701
2021-02-10,California,State,Epsilon,364.0,66.79,319.57142857142,72.184575669571
2021-02-10,California,State,Total,545.0,100.0,442.71428571428,100.0
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
